843598,Unassigned,,,Skipped,Download link not found
844126,1972393,invoice_1868820_signed_2022-10-07.pdf,sera_media\Customer_844126\Job_1972393\invoice_1868820_signed_2022-10-07.pdf,Downloaded,
844126,3583790,quote_789388_signed_2023-04-17_8-45am.pdf,sera_media\Customer_844126\Job_3583790\quote_789388_signed_2023-04-17_8-45am.pdf,Downloaded,
844126,3583790,invoice_3424628_signed_2023-04-17.pdf,sera_media\Customer_844126\Job_3583790\invoice_3424628_signed_2023-04-17.pdf,Downloaded,
844499,1310835,media_1.jpg,sera_media\Customer_844499\Job_1310835\media_1.jpg,Downloaded,
844499,1310835,media_2.jpg,sera_media\Customer_844499\Job_1310835\media_2.jpg,Downloaded,
844499,2083890,media_3.jpg,sera_media\Customer_844499\Job_2083890\media_3.jpg,Downloaded,
844499,2083890,media_4.jpg,sera_media\Customer_844499\Job_2083890\media_4.jpg,Downloaded,
844499,1917164,media_5.jpg,sera_media\Customer_844499\Job_1917164\media_5.jpg,Downloaded,
844499,1917164,media_6.jpg,sera_media\Customer_844499\Job_1917164\media_6.jpg,Downloaded,
844499,1917153,media_7.jpg,sera_media\Customer_844499\Job_1917153\media_7.jpg,Downloaded,
844499,1917153,media_8.jpg,sera_media\Customer_844499\Job_1917153\media_8.jpg,Downloaded,
844499,1917153,media_9.jpg,sera_media\Customer_844499\Job_1917153\media_9.jpg,Downloaded,
844499,4011097,media_10.jpg,sera_media\Customer_844499\Job_4011097\media_10.jpg,Downloaded,
844499,4011105,media_11.jpg,sera_media\Customer_844499\Job_4011105\media_11.jpg,Downloaded,
844499,4011067,media_12.jpg,sera_media\Customer_844499\Job_4011067\media_12.jpg,Downloaded,
844499,5342907,media_13.jpg,sera_media\Customer_844499\Job_5342907\media_13.jpg,Downloaded,
844499,5342911,media_14.jpg,sera_media\Customer_844499\Job_5342911\media_14.jpg,Downloaded,
844499,5342911,media_15.jpg,sera_media\Customer_844499\Job_5342911\media_15.jpg,Downloaded,
844499,5859245,media_16.jpg,sera_media\Customer_844499\Job_5859245\media_16.jpg,Downloaded,
